date,open,high,low,close,Adj Close,volume,trade_count,vwap
2023-01-26 18:10:00+00:00,0.696982,0.7,0.65,0.658729,0.658729,219118.0,273.0,0.680223
2023-01-26 18:11:00+00:00,0.66,0.67,0.635,0.6373,0.6373,154735.0,288.0,0.652749
2023-01-26 18:12:00+00:00,0.635,0.65,0.605,0.605,0.605,107297.0,177.0,0.629162
2023-01-26 18:13:00+00:00,0.605,0.634,0.6,0.63,0.63,164435.0,217.0,0.607218
2023-01-26 18:14:00+00:00,0.62,0.6287,0.61,0.61,0.61,40809.0,60.0,0.618074
2023-01-26 18:15:00+00:00,0.605,0.6103,0.586,0.5898,0.5898,115729.0,137.0,0.597111
2023-01-26 18:16:00+00:00,0.5861,0.6,0.581001,0.6,0.6,201902.0,198.0,0.585261
2023-01-26 18:17:00+00:00,0.593,0.6037,0.591,0.6037,0.6037,42399.0,80.0,0.599632
2023-01-26 18:18:00+00:00,0.6037,0.6038,0.6001,0.600901,0.600901,65632.0,100.0,0.601374
2023-01-26 18:19:00+00:00,0.6008,0.6008,0.581,0.5901,0.5901,106118.0,117.0,0.592174
2023-01-26 18:20:00+00:00,0.5912,0.5988,0.59,0.595,0.595,88506.0,106.0,0.594275
2023-01-26 18:21:00+00:00,0.5959,0.6,0.5925,0.596,0.596,70131.0,101.0,0.597719
2023-01-26 18:22:00+00:00,0.5954,0.5954,0.554,0.554,0.554,163858.0,252.0,0.568773
2023-01-26 18:23:00+00:00,0.5541,0.5599,0.5401,0.5425,0.5425,81951.0,135.0,0.553709
2023-01-26 18:24:00+00:00,0.5425,0.5598,0.5425,0.5554,0.5554,90947.0,144.0,0.551891
2023-01-26 18:25:00+00:00,0.5553,0.565,0.5439,0.551501,0.551501,48667.0,67.0,0.554945
2023-01-26 18:26:00+00:00,0.554,0.5754,0.547101,0.5754,0.5754,62105.0,42.0,0.557737
2023-01-26 18:27:00+00:00,0.56775,0.5755,0.56,0.5754,0.5754,97081.0,83.0,0.56933
2023-01-26 18:28:00+00:00,0.5755,0.5913,0.5733,0.59,0.59,56845.0,111.0,0.583536
2023-01-26 18:29:00+00:00,0.586901,0.5948,0.585,0.585,0.585,89084.0,122.0,0.591042
2023-01-26 18:30:00+00:00,0.5851,0.5947,0.585,0.591085,0.591085,34058.0,34.0,0.586634
2023-01-26 18:31:00+00:00,0.5947,0.606,0.592,0.59715,0.59715,53435.0,64.0,0.601111
2023-01-26 18:32:00+00:00,0.5987,0.6085,0.5986,0.5998,0.5998,108471.0,123.0,0.603305
2023-01-26 18:33:00+00:00,0.605,0.6084,0.593,0.601,0.601,22165.0,38.0,0.596839
2023-01-26 18:34:00+00:00,0.604,0.604,0.5947,0.5995,0.5995,7204.0,33.0,0.599374
2023-01-26 18:35:00+00:00,0.5995,0.604,0.5901,0.5901,0.5901,63409.0,41.0,0.600992
2023-01-26 18:36:00+00:00,0.59,0.6,0.59,0.5954,0.5954,29337.0,42.0,0.593851
2023-01-26 18:37:00+00:00,0.5999,0.6184,0.599,0.6184,0.6184,42852.0,74.0,0.607464
2023-01-26 18:38:00+00:00,0.6175,0.64,0.6111,0.6338,0.6338,174759.0,107.0,0.625195
2023-01-26 18:39:00+00:00,0.633675,0.63414,0.6121,0.614,0.614,31011.0,50.0,0.619827
2023-01-26 18:40:00+00:00,0.6175,0.6349,0.615,0.6348,0.6348,40652.0,58.0,0.626461
2023-01-26 18:41:00+00:00,0.6349,0.655,0.6201,0.6549,0.6549,65206.0,74.0,0.64044
2023-01-26 18:42:00+00:00,0.6549,0.6549,0.6398,0.6398,0.6398,91498.0,101.0,0.646263
2023-01-26 18:43:00+00:00,0.635,0.635,0.605,0.62,0.62,35748.0,63.0,0.619617
2023-01-26 18:44:00+00:00,0.62,0.62735,0.6102,0.62,0.62,28676.0,33.0,0.621733
2023-01-26 18:45:00+00:00,0.6103,0.6149,0.61,0.6106,0.6106,17804.0,33.0,0.610681
